id,name,group,Info,Size,BC,QA_status,,webpage
0,DDM,model,Dynamic Dispatch Model. Detailed model of generation and investment decision-making in the electricity market in Great Britain,20,Yes,Qaed by MIT,,https://www.gov.uk/government/publications/dynamic-dispatch-model-ddm
1,FIDER,model,FID Enabling for Renewables affordability model. The Affordability Model fulfils two functions:it determines which projects are able to be funded given the budget set aside for FID Enabling for Renewables and it calculates the fair value of the total liabilities associated with the contracts that are let through the FID Enabling for Renewables process. ,30,Yes,Not Qaed,,http://www.cornwallenergy.com/Opinion/FIDeR-The-thick-end-of-the-wedge
2,LCM,model,Electricity Levelised Cost Model. Levelised cost of generation is the lifetime discounted cost of an asset expressed in cost per unit energy produced.,31,No,Not Qaed,,https://www.gov.uk/government/publications/decc-electricity-generation-costs-2013
3,RO - X,model,RO - X Strike Price Model,20,Yes,Qaed by MIT,,https://www.gov.uk/government/publications/electricity-market-reform-contracts-for-difference
4,APBM,model,The Average Prices and Bills Model estimates the average impact of energy and climate change policies on energy prices and bills for households and businesses,20,Yes,Qaed by MIT,,https://www.gov.uk/government/statistical-data-sets/annual-domestic-energy-price-statistics
5,EEP,model,"The UEP model is the modelling framework for DECC's Energy & Emissions projections. It is actually a suite of models - at its core is the Energy Demand Model (EDM), which projects energy demands and the disaggregated greenhouse gas emissions for the United Kingdom up to 2030 (and soon 2035).",20,Yes,Qaed by MIT,,https://www.gov.uk/government/collections/energy-and-emissions-projections
6,DIMPSA,model,DIMPSA models the costs and benefits of policy delivery in terms of energy bills,20,Yes,Qaed by MIT,,http://www.retro-expo.co.uk/media/industry-news/dimpsa-provides-evidence-on-household-energy-use/
7,BEAC,model,This is a spreadsheet model created by Anna Stephenson for David MacKay to calculate global biomass resource and GHG impacts of electricity generation to 2050 incorporating evidenced counterfactual land use effects,20,No,Not Qaed,,"http://www.biomassenergycentre.org.uk/portal/page?_pageid=73,1&_dad=portal&_schema=PORTAL"
8,BEAT2,model,"The Biomass Environmental Assessment Tool (BEAT2), provided by Defra, the Biomass Energy Centre and the Environment Agency as an aid to assessing the likely environmental impact of a biomass energy project ",20,No,Not Qaed,,"http://www.biomassenergycentre.org.uk/portal/page?_pageid=74,153193&_dad=portal&_schema=PORTAL"
9,GLOBIOM,model,"A global model to assess competition for land use between agriculture, bioenergy, and forestry",20,No,Not Qaed,,http://www.globiom.org/
10,GLOCAF,model,The Global Carbon Finance (GLOCAF) model is used by analysts in DECC's International Climate Change (ICC) directorate for analysis of international climate change mitigation issues,20,No,Not Qaed,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/48108/1_20100120165619_e____carbonvaluesbeyond2050.pdf
11,EHS 2011,dataset,The English Housing Survey is a continuous national survey that collects information about people's housing circumstances and the condition and energy efficiency of housing in England. The EHS covers all housing tenures and provides valuable information and evidence to inform the development and monitoring of government housing policies,1,No,N/A,,https://www.gov.uk/government/collections/english-housing-survey
12,NHM,model,National Household model,100,Yes,Qaed by MIT,,http://www.cse.org.uk/projects/view/1233
